place_id,name,address,latitude,longitude,rating,num_reviews,food_types,price_level,hours
ChIJO8-jOzTfdUgRh_qan0NCxmw,The Queen Stage,"The St, Effingham, Leatherhead KT24 5LU, UK",51.272221099999996,-0.4001629,4.6,242,"pub, pizza_restaurant, diner, cafe, american_restaurant, bar, meal_takeaway, restaurant",PRICE_LEVEL_MODERATE,Monday: 10:00 AM – 11:00 PM; Tuesday: 10:00 AM – 11:00 PM; Wednesday: 10:00 AM – 11:00 PM; Thursday: 10:00 AM – 11:00 PM; Friday: 10:00 AM – 11:00 PM; Saturday: 9:00 AM – 11:00 PM; Sunday: 9:00 AM – 9:00 PM
ChIJ01hJCXLedUgRBeRI8HnliJo,The Plough,"Orestan Ln, Effingham, Leatherhead KT24 5SW, UK",51.2726383,-0.4018505,4.5,590,"pub, bar",PRICE_LEVEL_MODERATE,Monday: 12:00 – 10:00 PM; Tuesday: 12:00 – 10:00 PM; Wednesday: 12:00 – 10:00 PM; Thursday: 12:00 – 10:00 PM; Friday: 12:00 – 10:30 PM; Saturday: 12:00 – 10:30 PM; Sunday: 12:00 – 7:00 PM
ChIJ487yJ5vedUgRYzN61ITciw8,La Meridiana,"Ockham Rd S, East Horsley, Leatherhead KT24 6QU, UK",51.2781058,-0.43594849999999996,4.5,451,"italian_restaurant, restaurant",PRICE_LEVEL_EXPENSIVE,Monday: 12:00 – 9:00 PM; Tuesday: 12:00 – 9:00 PM; Wednesday: 12:00 – 9:00 PM; Thursday: 12:00 – 9:00 PM; Friday: 12:00 – 9:00 PM; Saturday: 12:00 – 9:00 PM; Sunday: 12:00 – 9:00 PM
ChIJx28VRDjfdUgR_PuosuVUDTI,Annaré,"Bishopsmead Parade, East Horsley, Leatherhead KT24 6RT, UK",51.2652359,-0.432188,4.9,210,cafe,N/A,Monday: Closed; Tuesday: 8:00 AM – 4:00 PM; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: 8:00 AM – 4:00 PM; Sunday: Closed
ChIJ47D1y9HfdUgRGyZM5YJgP5Y,Bolo & Brew Cafe Bar,"Bolo & Brew Cafe, Station Approach, East Horsley, Leatherhead KT24 6QX, UK",51.2790767,-0.4355267,4.9,78,"cafe, wine_bar, bar",N/A,Monday: 6:30 AM – 4:00 PM; Tuesday: 6:30 AM – 2:00 PM; Wednesday: 6:30 AM – 2:00 PM; Thursday: 6:30 AM – 9:00 PM; Friday: 6:30 AM – 9:00 PM; Saturday: 8:30 AM – 4:00 PM; Sunday: 8:30 AM – 4:00 PM
ChIJ1_l8nJHedUgR3MJTRJqDVZ0,Quaich.,"20 Station Parade, Ockham Rd S, Station Approach, East Horsley, Leatherhead KT24 6QN, UK",51.2772499,-0.43487359999999997,4.5,148,"coffee_shop, cafe",PRICE_LEVEL_MODERATE,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 8:00 AM – 5:00 PM; Sunday: Closed
ChIJlVMuK4PedUgRR9hp-ALMUsU,Yasmin Indian Restaurant,"15 Bishopsmead Parade, East Horsley, Leatherhead KT24 6RT, UK",51.2649032,-0.43199499999999996,4.7,218,"indian_restaurant, meal_takeaway, restaurant",PRICE_LEVEL_MODERATE,"Monday: Closed; Tuesday: 5:30 – 10:30 PM; Wednesday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Thursday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Friday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Saturday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Sunday: 12:00 – 2:45 PM, 6:00 – 10:30 PM"
ChIJydbiap7fdUgRUilArChrNVc,Loolabells outdoors kitchen,"KGV playing fields, Effingham, Leatherhead KT24 5ND, UK",51.2699316,-0.3966054,4.9,58,"restaurant, meal_takeaway",N/A,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 9:00 AM – 4:00 PM
ChIJ_Wjwn5HedUgRatd6amP7KUc,Merry-House ChineseTakeaway Surrey | Malaysian | Fish & Chips,"Shop 3, Parade Court, Ockham Rd S, East Horsley, Leatherhead KT24 6QR, UK",51.2768097,-0.43523039999999996,4.3,137,"meal_takeaway, restaurant",PRICE_LEVEL_MODERATE,"Monday: Closed; Tuesday: 5:00 – 9:00 PM; Wednesday: 5:00 – 9:00 PM; Thursday: 12:00 – 1:30 PM, 5:00 – 9:00 PM; Friday: 12:00 – 1:30 PM, 5:00 – 9:00 PM; Saturday: 12:00 – 1:30 PM, 5:00 – 9:00 PM; Sunday: Closed"
ChIJC4n4m5HedUgR1GYvFAbqT-U,Kirthon,"Station Parade, Ockham Rd S, East Horsley, Leatherhead KT24 6QN, UK",51.277105999999996,-0.434826,4.5,111,"indian_restaurant, asian_restaurant, meal_takeaway, restaurant",PRICE_LEVEL_MODERATE,"Monday: 5:30 – 11:00 PM; Tuesday: 5:30 – 11:00 PM; Wednesday: 5:30 – 11:00 PM; Thursday: 5:30 – 11:00 PM; Friday: 5:30 – 11:00 PM; Saturday: 5:30 – 11:00 PM; Sunday: 12:00 – 2:30 PM, 5:30 – 11:00 PM"
ChIJ3QCleMcLdkgRfVt3ykCVuwQ,Orindi’s Deli (Cafe and Catering),"1 Cobham Way, East Horsley, Leatherhead KT24 5BH, UK",51.2781016,-0.43505479999999996,4.8,132,"cafe, deli, food_delivery, italian_restaurant, restaurant",N/A,Monday: Closed; Tuesday: 8:00 AM – 2:00 PM; Wednesday: 7:30 AM – 4:00 PM; Thursday: 7:30 AM – 4:00 PM; Friday: 7:30 AM – 4:00 PM; Saturday: 7:30 AM – 3:30 PM; Sunday: Closed
